gene_id,loading_comp1_rss,loading_comp2_rss,loading_max,top_time_feature
Nfu_g_1_005848,0.04546122560041137,0.04046325925200288,0.03135047837583835,delta20minus10
Nfu_g_1_007891,0.04542443927967361,0.01907184489840559,0.030903957043140185,delta20minus10
Nfu_g_1_004090,0.045359163322822,0.04669147487307182,0.0360165666875817,w20
Nfu_g_1_011459,0.04534987732840498,0.02191676679657117,0.033506564537918115,w20
Nfu_g_1_017552,0.04525299684400597,0.020076045643872116,0.03354497579974722,w20
Nfu_g_1_003248,0.045225656181780496,0.008288275871047744,0.03262747078360422,w20
Nfu_g_1_003853,0.04514380009871144,0.03958573305835525,0.03359553313712749,delta20minus10
Nfu_g_1_015843,0.04505508003914463,0.05618218437403625,0.04088281219694819,w20
Nfu_g_1_006079,0.0448367075906828,0.024927941861941222,0.03264507905492085,w20
Nfu_g_1_001379,0.04479488986459126,0.03539811061987409,0.031044725054034425,delta20minus10
Nfu_g_1_012617,0.04478556546355286,0.026119875977081836,0.035078310955553145,w20
Nfu_g_1_004218,0.04473363126746594,0.024695482239535847,0.033227812411314873,w20
Nfu_g_1_021857,0.044719975460128764,0.04354222616183044,0.03507807697328946,w20
Nfu_g_1_010700,0.04461424067758032,0.02179309468663957,0.02915857315135408,delta20minus10
Nfu_g_1_021490,0.044459759108524316,0.02065617618406368,0.03292801543374726,w20
Nfu_g_1_015114,0.044446551199165865,0.014931933249661477,0.03132068216371594,w20
Nfu_g_1_021435,0.044422019272551495,0.039778740127212595,0.030196301600587568,delta20minus10
Nfu_g_1_008348,0.04429977446267506,0.03167306569596922,0.03139279112256542,delta20minus10
Nfu_g_1_001454,0.04424947414190713,0.03633795953804904,0.0344909084297376,w20
Nfu_g_1_020222,0.04419546637080922,0.026785861098678965,0.031445357175676966,delta20minus10
Nfu_g_1_021914,0.04415165960719973,0.031168892502876532,0.03424355311901186,w20
Nfu_g_1_003111,0.04413869094130842,0.032971564020136936,0.030671359061260728,delta20minus10
Nfu_g_1_013884,0.044076350961937676,0.027682956098428465,0.032287899322180694,w20
Nfu_g_1_003023,0.044016157880554026,0.019188551609595067,0.03227828340821445,w20
Nfu_g_1_012848,0.043869084155130765,0.016969116119805863,0.0303519670546905,w20
Nfu_g_1_009150,0.04370471940797072,0.0225896318102032,0.031775083439475646,w20
Nfu_g_1_011147,0.043568806272743434,0.014051988680964751,0.03294295646366226,w20
Nfu_g_1_022806,0.04338128333218127,0.018791034734153063,0.030021838141532146,delta20minus10
Nfu_g_1_007699,0.043368999696340414,0.03499769103675703,0.02913214931736711,delta20minus10
Nfu_g_1_011905,0.04335197332859587,0.02243644448354108,0.029763800368497056,w20
Nfu_g_1_009522,0.043304892197280176,0.024021171452875804,0.03208656807367686,delta20minus10
Nfu_g_1_018287,0.04299510431818123,0.030193585098061932,0.031971867151451165,w20
Nfu_g_1_008555,0.0429682352622513,0.020297635370885393,0.030831230112546276,w20
Nfu_g_1_017714,0.04293199002099868,0.02387528904632826,0.028909366390175602,w20
Nfu_g_1_003707,0.04289395244899119,0.013829146903425191,0.033183042588273225,w20
Nfu_g_1_011849,0.04283996894641247,0.0362359555573157,0.029093322490343305,delta20minus10
Nfu_g_1_003269,0.0427742280165579,0.02471269650653306,0.03122960059274093,w20
Nfu_g_1_000665,0.042756833232824844,0.023747278363605472,0.03130720737472402,w20
Nfu_g_1_020127,0.04275175443239209,0.02563163456835007,0.030992640932848894,w20
Nfu_g_1_019977,0.04245018779815369,0.029506032658082288,0.03272805096947158,w20
Nfu_g_1_017453,0.042436841958729106,0.04222482822277909,0.028112677298400703,delta20minus10
Nfu_g_1_017163,0.04238645931317966,0.03699232959183018,0.03248298328800128,w20
Nfu_g_1_008081,0.04231861609304804,0.012503613703588214,0.031484678029597084,w20
Nfu_g_1_005271,0.04223792217359418,0.03861245914164814,0.029110776960430386,delta20minus10
Nfu_g_1_018229,0.042236087829732934,0.04608554259944842,0.031446967571274256,delta20minus10
Nfu_g_1_003097,0.04206163096431061,0.03220418112353447,0.028232267679426888,w20
Nfu_g_1_017679,0.042047796408109406,0.03825324048829731,0.02920280601465596,w20
Nfu_g_1_020488,0.04204691881041212,0.025563225413354134,0.029240705876306936,delta20minus10
Nfu_g_1_013396,0.04198463085948077,0.034103146542351435,0.029538390390757976,delta20minus10
Nfu_g_1_020233,0.04197330832063085,0.012714834535655415,0.0303273478474548,w20
Nfu_g_1_008461,0.04193970399911246,0.044808258338272,0.029626053298224035,delta20minus10
Nfu_g_1_007235,0.04190935248523577,0.014484712056413478,0.029528304552008812,w20
Nfu_g_1_020600,0.04185998039953286,0.06454027329190994,0.05268036776516383,w20
Nfu_g_1_000421,0.041814790630394984,0.03285952181279845,0.028252862312516665,delta20minus10
Nfu_g_1_005521,0.041813342775556504,0.027884245063058945,0.027205335389167515,delta20minus10
Nfu_g_1_013906,0.04177448036685501,0.026759548193844684,0.03211456280209532,w20
