probe_id,pc2_loading_rss,pc2_max_abs_loading,pc2_dominant_day,gene_title,gene_symbol,gene_id,go_process,go_function
216379_PM_x_at,0.004010130950632593,0.0032059073432611903,D7,CD24 molecule,CD24,100133941,B cell receptor transport into membrane raft///T cell costimulation///Wnt signaling pathway///cell activation///cell migration///chemokine receptor transport out of membrane raft///cholesterol homeostasis///glomerular parietal epithelial cell differentiation///glomerular visceral epithelial cell differentiation///immune response-regulating cell surface receptor signaling pathway///intrinsic apoptotic signaling pathway///negative regulation of transforming growth factor beta3 production///positive regulation of MAP kinase activity///positive regulation of activated T cell proliferation///positive regulation of cytosolic calcium ion concentration///positive regulation of nephron tubule epithelial cell differentiation///positive regulation of protein tyrosine kinase activity///regulation of MAPK cascade///regulation of cytokine-mediated signaling pathway///regulation of epithelial cell differentiation///regulation of phosphorylation///respiratory burst///response to estrogen///response to hypoxia///response to molecule of bacterial origin///single organismal cell-cell adhesion,protein binding///protein kinase binding///protein tyrosine kinase activator activity///signal transducer activity
235616_PM_at,0.004005877646765479,0.003551496342059815,D1,teashirt zinc finger homeobox 2,TSHZ2,128553,"multicellular organism development///negative regulation of transcription from RNA polymerase II promoter///regulation of transcription from RNA polymerase II promoter///transcription, DNA-templated","DNA binding///chromatin binding///metal ion binding///protein binding///transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
213515_PM_x_at,0.0039897952447404935,0.0030218883322759215,D1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,HBG2///HBG1,3048///3047,blood coagulation///oxygen transport///blood coagulation///oxygen transport,heme binding///iron ion binding///oxygen binding///oxygen transporter activity///heme binding///iron ion binding///oxygen binding///oxygen transporter activity
221491_PM_x_at,0.0039395726575181715,0.003895615951837904,D7,"HLA class II histocompatibility antigen, DR beta 4 chain-like///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1",LOC100133661///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1,100133661///3127///3126///3125///3123,T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///interferon-gamma-mediated signaling pathway///T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///interferon-gamma-mediated signaling pathway///T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///interferon-gamma-mediated signaling pathway///signal transduction///T cell costimulation///T cell receptor signaling pathway///antigen processing and presentation of exogenous peptide antigen via MHC class II///interferon-gamma-mediated signaling pathway///polysaccharide assembly with MHC class II protein complex,peptide antigen binding///MHC class II receptor activity///peptide antigen binding///MHC class II protein complex binding///peptide antigen binding
226022_PM_at,0.003929820262950776,0.0036344483498529393,D7,SAM and SH3 domain containing 1,SASH1,23328,positive regulation of JUN kinase activity///positive regulation of NIK/NF-kappaB signaling///positive regulation of angiogenesis///positive regulation of endothelial cell migration///positive regulation of lipopolysaccharide-mediated signaling pathway///positive regulation of p38MAPK cascade///protein polyubiquitination///regulation of protein K63-linked ubiquitination///regulation of protein autoubiquitination,mitogen-activated protein kinase kinase kinase binding///protein C-terminus binding///protein complex scaffold///protein kinase binding
216050_PM_at,0.00391041138175852,0.0028583870766369143,D3,,,,,
213533_PM_at,0.0039096798645515815,0.0028943482545159866,D7,forkhead box P1///neuron specific gene family member 1,FOXP1///NSG1,27086///27065,"T follicular helper cell differentiation///chemokine (C-C motif) ligand 2 secretion///endothelial cell activation///interleukin-21 secretion///macrophage activation///monocyte activation///negative regulation of B cell apoptotic process///negative regulation of androgen receptor signaling pathway///negative regulation of transcription, DNA-templated///negative regulation of transcription, DNA-templated///osteoclast development///osteoclast differentiation///positive regulation of endothelial cell migration///positive regulation of smooth muscle cell proliferation///regulation of defense response to bacterium///regulation of endothelial tube morphogenesis///regulation of inflammatory response///regulation of interleukin-1 beta secretion///regulation of interleukin-12 secretion///regulation of macrophage colony-stimulating factor production///regulation of monocyte differentiation///regulation of transcription from RNA polymerase II promoter///regulation of tumor necrosis factor production///response to lipopolysaccharide///transcription, DNA-templated///clathrin coat assembly///dopamine receptor signaling pathway///endosomal transport///positive regulation of receptor recycling","RNA polymerase II transcription factor activity, sequence-specific DNA binding///androgen receptor binding///metal ion binding///protein binding///protein self-association///sequence-specific DNA binding///clathrin light chain binding///protein binding///receptor binding"
227492_PM_at,0.0039026758790828963,0.003718740871333327,D1,,,,,
225062_PM_at,0.0038798414634507914,0.00334525452040068,D7,uncharacterized LOC389831,LOC389831,389831,,
209995_PM_s_at,0.0038767955579102234,0.002917319889622635,D0,T-cell leukemia/lymphoma 1A,TCL1A,8115,multicellular organism development,protein binding
