gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
SIGLEC10 /// SIGLEC12,-0.0035295530039344243,2.8192308536710044e-4,0.0035295530039344243,2.8192308536710044e-4,FALSE,FALSE
SNORA74A,0.003528221630636901,-0.00856057556240215,0.003528221630636901,0.00856057556240215,FALSE,FALSE
MACROD2,0.003527204458573302,-0.03132067134265558,0.003527204458573302,0.03132067134265558,FALSE,FALSE
KLHL15,-0.0035134981937461427,0.021579405804127486,0.0035134981937461427,0.021579405804127486,FALSE,FALSE
DNAJC6,-0.0035127165851530856,-0.0071499201070592076,0.0035127165851530856,0.0071499201070592076,FALSE,FALSE
C19orf18,0.0035125252405752883,-0.01806054195089189,0.0035125252405752883,0.01806054195089189,FALSE,FALSE
C9orf140,0.0035120186666125013,0.007465138308445108,0.0035120186666125013,0.007465138308445108,FALSE,FALSE
NSUN7,-0.003509479689921347,0.009852660203822292,0.003509479689921347,0.009852660203822292,FALSE,FALSE
EPB49,-0.003488381294238166,-0.014244113179211568,0.003488381294238166,0.014244113179211568,FALSE,FALSE
RNF19B,0.00348171648948175,0.01971918903892557,0.00348171648948175,0.01971918903892557,FALSE,FALSE
C6orf165,-0.003480232479606821,-0.017272895300885216,0.003480232479606821,0.017272895300885216,FALSE,FALSE
SEPSECS,-0.003479176995683421,0.019148849857514146,0.003479176995683421,0.019148849857514146,FALSE,FALSE
CTNND1,0.0034789937631283844,-0.019142948798563313,0.0034789937631283844,0.019142948798563313,FALSE,FALSE
SPDYE1,-0.003477529383310499,0.012247370053847156,0.003477529383310499,0.012247370053847156,FALSE,FALSE
DIRC2,0.0034768758806781263,0.02519809358529877,0.0034768758806781263,0.02519809358529877,FALSE,FALSE
SYCP2L,0.003475204673159089,0.011986326136565417,0.003475204673159089,0.011986326136565417,FALSE,FALSE
PBX1,-0.003473916216157672,0.005566499495737256,0.003473916216157672,0.005566499495737256,FALSE,FALSE
PAPOLB,0.0034731679952592198,-0.018727075270192774,0.0034731679952592198,0.018727075270192774,FALSE,FALSE
TFDP2,-0.0034654694489026894,0.02101050505658184,0.0034654694489026894,0.02101050505658184,FALSE,FALSE
ISM1,0.003464492112416585,0.016052542487335307,0.003464492112416585,0.016052542487335307,FALSE,FALSE
LOC388796 /// SNORA71B,0.00346361783077038,-0.014617020237487316,0.00346361783077038,0.014617020237487316,FALSE,FALSE
ATP6AP1L,-0.0034626087522081936,-0.0068655385900710025,0.0034626087522081936,0.0068655385900710025,FALSE,FALSE
GRAMD2,0.0034611398543975542,-0.02021407346325383,0.0034611398543975542,0.02021407346325383,FALSE,FALSE
BCL2L14,-0.003460083287142524,-0.022289952800776038,0.003460083287142524,0.022289952800776038,FALSE,FALSE
SEPT10,-0.003457109404498691,-0.016461974295209503,0.003457109404498691,0.016461974295209503,FALSE,FALSE
NIPAL2,0.003455038324116808,-0.005937225678217665,0.003455038324116808,0.005937225678217665,FALSE,FALSE
LOC728543,0.003449797974383762,0.005973001867527692,0.003449797974383762,0.005973001867527692,FALSE,FALSE
KLK15,-0.0034379610128492223,0.006371538472529076,0.0034379610128492223,0.006371538472529076,FALSE,FALSE
PLA2G4A,0.003435454006301082,-0.004562772883812818,0.003435454006301082,0.004562772883812818,FALSE,FALSE
HMBS,0.0034354153815114525,0.0031586327938123763,0.0034354153815114525,0.0031586327938123763,FALSE,FALSE
EXOC3L2,-0.003433793099987589,-0.021981995099177226,0.003433793099987589,0.021981995099177226,FALSE,FALSE
C16orf75,0.0034335172376896038,-0.004580878458736679,0.0034335172376896038,0.004580878458736679,FALSE,FALSE
P2RX4,-0.003431532170596774,0.02407014477011485,0.003431532170596774,0.02407014477011485,FALSE,FALSE
CCL3 /// CCL3L1 /// CCL3L3,-0.0034297589325541942,0.008622921835195441,0.0034297589325541942,0.008622921835195441,FALSE,FALSE
GEMIN5,0.003427191728363218,-0.003916459928752426,0.003427191728363218,0.003916459928752426,FALSE,FALSE
DYSF,-0.003427044619964274,0.007015871851947617,0.003427044619964274,0.007015871851947617,FALSE,FALSE
ARHGEF10L,-0.003419343628528759,-0.01856606678862795,0.003419343628528759,0.01856606678862795,FALSE,FALSE
NBN,0.0034189494097104692,0.019526653375016977,0.0034189494097104692,0.019526653375016977,FALSE,FALSE
FLJ10357,0.0034174489401427627,-0.003297578228538744,0.0034174489401427627,0.003297578228538744,FALSE,FALSE
MUC8,0.003413549775049648,0.011584423617806858,0.003413549775049648,0.011584423617806858,FALSE,FALSE
ZNF681,0.003409248946620663,-0.006588244993542767,0.003409248946620663,0.006588244993542767,FALSE,FALSE
C10orf41,0.0034089512616272935,-0.005267677008053997,0.0034089512616272935,0.005267677008053997,FALSE,FALSE
MMD,0.0034077577718439893,0.016705937221228036,0.0034077577718439893,0.016705937221228036,FALSE,FALSE
FCGR2A /// FCGR2C,0.003406782743497669,-0.02269678955413024,0.003406782743497669,0.02269678955413024,FALSE,FALSE
GK,0.003405963230998563,0.010435314196708909,0.003405963230998563,0.010435314196708909,FALSE,FALSE
DUX2,-0.003405634310148346,-0.024446242058029154,0.003405634310148346,0.024446242058029154,FALSE,FALSE
LOC100289775 /// WNT7B,0.0034056223829172557,-0.01266977320475959,0.0034056223829172557,0.01266977320475959,FALSE,FALSE
DYNLL2,-0.003405588005729506,0.02428349908332364,0.003405588005729506,0.02428349908332364,FALSE,FALSE
DUSP10,-0.0034054387323288805,0.011298572826744761,0.0034054387323288805,0.011298572826744761,FALSE,FALSE
QPCT,0.003404738934108583,0.0034716245356638587,0.003404738934108583,0.0034716245356638587,FALSE,FALSE
FKTN,0.0034016842256492145,0.0038212744183916715,0.0034016842256492145,0.0038212744183916715,FALSE,FALSE
ITSN1,-0.0033848948168632973,0.0025391300690669636,0.0033848948168632973,0.0025391300690669636,FALSE,FALSE
ZNF680,0.0033779901310550865,0.01121501558006046,0.0033779901310550865,0.01121501558006046,FALSE,FALSE
