gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
DOK1,0.00886294873186021,0.01259132817825791,0.00886294873186021,0.01259132817825791,FALSE,FALSE
IGH@,0.008859262395422094,-0.013285749160318218,0.008859262395422094,0.013285749160318218,FALSE,FALSE
NUDT16,-0.008858046238028381,0.014292451299353616,0.008858046238028381,0.014292451299353616,FALSE,FALSE
LOC100129122,0.008855502149137606,-0.004726684264369044,0.008855502149137606,0.004726684264369044,FALSE,FALSE
GPN3,0.008845044920260585,0.011340574142595436,0.008845044920260585,0.011340574142595436,FALSE,FALSE
SIGLEC11,-0.008838068378492851,0.02136149591042526,0.008838068378492851,0.02136149591042526,FALSE,FALSE
INPP1,-0.008834602513364802,0.015741550766325677,0.008834602513364802,0.015741550766325677,FALSE,FALSE
KCTD3,-0.008814804725672422,0.021943779004326966,0.008814804725672422,0.021943779004326966,FALSE,FALSE
CCDC144C,-0.008813708554612429,-0.018881804860974023,0.008813708554612429,0.018881804860974023,FALSE,FALSE
MRC1 /// MRC1L1,-0.008791345304502053,0.022844331610193128,0.008791345304502053,0.022844331610193128,FALSE,FALSE
POLR2J4,0.008788359429659972,-0.013416867739626094,0.008788359429659972,0.013416867739626094,FALSE,FALSE
ASF1A,0.008786831076533408,-0.018374597860292868,0.008786831076533408,0.018374597860292868,FALSE,FALSE
COL1A1,0.008783027651306233,-0.0023216478779482853,0.008783027651306233,0.0023216478779482853,FALSE,FALSE
MUC8,-0.008779451470379358,0.0026358745767578406,0.008779451470379358,0.0026358745767578406,FALSE,FALSE
CA5B,0.0087782131196656,-0.008209046373730633,0.0087782131196656,0.008209046373730633,FALSE,FALSE
FLNB,0.00877709255152273,0.01222217112543227,0.00877709255152273,0.01222217112543227,FALSE,FALSE
CSMD1,0.008771636003295717,-0.0032831915328781942,0.008771636003295717,0.0032831915328781942,FALSE,FALSE
DENND2C,0.00875919587731061,-0.0011621780370816494,0.00875919587731061,0.0011621780370816494,FALSE,FALSE
IGF1R,-0.008755850319845195,0.007745560478003511,0.008755850319845195,0.007745560478003511,FALSE,FALSE
HCG27,-0.008755439473110435,0.012058946436980095,0.008755439473110435,0.012058946436980095,FALSE,FALSE
FAM75A3 /// FAM75A4 /// FAM75A5 /// FAM75A7,-0.008751978890393673,-0.008539933040957622,0.008751978890393673,0.008539933040957622,FALSE,FALSE
SPATA20,-0.008748922122751815,0.020042109097091663,0.008748922122751815,0.020042109097091663,FALSE,FALSE
NFKBID,-0.008747014727262097,0.01904437068424562,0.008747014727262097,0.01904437068424562,FALSE,FALSE
IFNAR1,-0.008746675380897882,0.001466447977869507,0.008746675380897882,0.001466447977869507,FALSE,FALSE
XAF1,0.008745088659748277,-0.010011679756149968,0.008745088659748277,0.010011679756149968,FALSE,FALSE
C14orf147,-0.008737319612056718,0.012913997305517531,0.008737319612056718,0.012913997305517531,FALSE,FALSE
SIP1,-0.008735684948530872,-0.016339405741349233,0.008735684948530872,0.016339405741349233,FALSE,FALSE
FCGR2B,0.008735061354485596,0.001967800984482962,0.008735061354485596,0.001967800984482962,FALSE,FALSE
KIF6,0.008730533779147306,0.0032298459513699536,0.008730533779147306,0.0032298459513699536,FALSE,FALSE
MRPS14,0.008725248456249413,0.0016390598487254764,0.008725248456249413,0.0016390598487254764,FALSE,FALSE
FKBP4,0.008721562601422674,-0.009320472398666171,0.008721562601422674,0.009320472398666171,FALSE,FALSE
SMAD1,0.008718064611372478,0.004047258190492713,0.008718064611372478,0.004047258190492713,FALSE,FALSE
PVRL2,-0.008716998809557213,0.012137571818941125,0.008716998809557213,0.012137571818941125,FALSE,FALSE
ONECUT1,-0.008711997277929257,-1.901060407747039e-4,0.008711997277929257,1.901060407747039e-4,FALSE,FALSE
DNAJA1,-0.008711152098933698,-0.005171741986171254,0.008711152098933698,0.005171741986171254,FALSE,FALSE
NHLRC2,0.008699471678353107,-0.024719671464286525,0.008699471678353107,0.024719671464286525,FALSE,FALSE
C4orf46,0.008699372728460988,0.008440863945623534,0.008699372728460988,0.008440863945623534,FALSE,FALSE
ZNF354B,-0.008693949033169803,0.003604515284652437,0.008693949033169803,0.003604515284652437,FALSE,FALSE
IGK@ /// IGKC /// LOC652493,0.008690362165726181,-0.0010440891361942473,0.008690362165726181,0.0010440891361942473,FALSE,FALSE
PKIA,-0.008682037455009747,-0.0019365118650359718,0.008682037455009747,0.0019365118650359718,FALSE,FALSE
KIF1A,-0.008678709734266541,0.004513359269625492,0.008678709734266541,0.004513359269625492,FALSE,FALSE
CLEC12A /// CLEC12B,-0.008678441563392243,-0.0011165861383484557,0.008678441563392243,0.0011165861383484557,FALSE,FALSE
IRG1,0.00867431379663533,0.024422190514014695,0.00867431379663533,0.024422190514014695,FALSE,FALSE
PLAG1,0.008670366242431561,-0.0035937075138268723,0.008670366242431561,0.0035937075138268723,FALSE,FALSE
APOBEC3A,-0.008665702889345005,0.015133759991688098,0.008665702889345005,0.015133759991688098,FALSE,FALSE
RPS16P5,0.008653529934408544,0.012022033413897371,0.008653529934408544,0.012022033413897371,FALSE,FALSE
PIAS4,0.0086475194381879,0.004938995081789574,0.0086475194381879,0.004938995081789574,FALSE,FALSE
ACPT,-0.00864428362218549,-3.7826476017073e-4,0.00864428362218549,3.7826476017073e-4,FALSE,FALSE
ALAS2,0.008643467264383869,-0.008897993043080395,0.008643467264383869,0.008897993043080395,FALSE,FALSE
CCR2,0.008642036243864927,0.0039407368553648495,0.008642036243864927,0.0039407368553648495,FALSE,FALSE
BAGE2 /// BAGE4,0.008641827517146736,0.018960185033231873,0.008641827517146736,0.018960185033231873,FALSE,FALSE
TMEM158,-0.00863721094116315,0.010321893389134657,0.00863721094116315,0.010321893389134657,FALSE,FALSE
C1orf128,0.008636950887653214,-0.006639995497270469,0.008636950887653214,0.006639995497270469,FALSE,FALSE
UGGT2,-0.008634438994185032,0.02048057499730065,0.008634438994185032,0.02048057499730065,FALSE,FALSE
NFKBIE,-0.008632223398445731,0.029346349174407788,0.008632223398445731,0.029346349174407788,FALSE,FALSE
ARNT,0.008628318929149507,0.01239029591273243,0.008628318929149507,0.01239029591273243,FALSE,FALSE
MPST,-0.008623281217268266,0.01561291151875417,0.008623281217268266,0.01561291151875417,FALSE,FALSE
FLJ33630,0.008622069174264,-0.014235513496456973,0.008622069174264,0.014235513496456973,FALSE,FALSE
LOC100288671,-0.008621083451436909,0.008959063755756749,0.008621083451436909,0.008959063755756749,FALSE,FALSE
